[freebase -> gkg: progress] 12400 done, 0 error
[freebase -> gkg: progress] 12450 done, 0 error
[freebase -> gkg: progress] 12500 done, 0 error
[freebase -> gkg: progress] 12550 done, 0 error
[freebase -> gkg: progress] 12600 done, 0 error
[freebase -> gkg: progress] 12650 done, 0 error
[freebase -> gkg: progress] 12700 done, 0 error
[freebase -> gkg: progress] 12750 done, 0 error
[freebase -> gkg: progress] 12800 done, 0 error
[freebase -> gkg: progress] 12850 done, 0 error
[freebase -> gkg: progress] 12900 done, 0 error
[freebase -> gkg: progress] 12950 done, 0 error
[freebase -> gkg: progress] 13000 done, 0 error
[freebase -> gkg: progress] 13050 done, 0 error
[freebase -> gkg: progress] 13100 done, 0 error
[freebase -> gkg: progress] 13150 done, 0 error
[freebase -> gkg: progress] 13200 done, 0 error
[freebase -> gkg: progress] 13250 done, 0 error
[freebase -> gkg: progress] 13300 done, 0 error
[freebase -> gkg: progress] 13350 done, 0 error
[freebase -> gkg: progress] 13400 done, 0 error
[freebase -> gkg: progress] 13450 done, 0 error
[freebase -> gkg: progress] 13500 done, 0 error
[freebase -> gkg: progress] 13550 done, 0 error
[freebase -> gkg: progress] 13600 done, 0 error
[freebase -> gkg: progress] 13650 done, 0 error
[freebase -> gkg: progress] 13700 done, 0 error
[freebase -> gkg: progress] 13750 done, 0 error
[freebase -> gkg: progress] 13800 done, 0 error
[freebase -> gkg: progress] 13850 done, 0 error
[freebase -> gkg: progress] 13900 done, 0 error
[freebase -> gkg: progress] 13950 done, 0 error
[freebase -> gkg: progress] 14000 done, 0 error
[freebase -> gkg: progress] 14050 done, 0 error
[freebase -> gkg: progress] 14100 done, 0 error
[freebase -> gkg: progress] 14150 done, 0 error
[freebase -> gkg: progress] 14200 done, 0 error
[freebase -> gkg: progress] 14250 done, 0 error
[freebase -> gkg: progress] 14300 done, 0 error
[freebase -> gkg: progress] 14350 done, 0 error
[freebase -> gkg: progress] 14400 done, 0 error
[freebase -> gkg: progress] 14450 done, 0 error
[freebase -> gkg: progress] 14500 done, 0 error
[freebase -> gkg: progress] 14550 done, 0 error
[freebase -> gkg: progress] 14600 done, 0 error
[freebase -> gkg: progress] 14650 done, 0 error
[freebase -> gkg: progress] 14700 done, 0 error
[freebase -> gkg: progress] 14750 done, 0 error
[freebase -> gkg: progress] 14800 done, 0 error
[freebase -> gkg: progress] 14850 done, 0 error
[freebase -> gkg: progress] 14900 done, 0 error
[freebase -> gkg: progress] 14950 done, 0 error
[freebase -> gkg: progress] 15000 done, 0 error
[freebase -> gkg: progress] 15050 done, 0 error
[freebase -> gkg: progress] 15100 done, 0 error
[freebase -> gkg: progress] 15150 done, 0 error
[freebase -> gkg: progress] 15200 done, 0 error
[freebase -> gkg: progress] 15250 done, 0 error
[freebase -> gkg: progress] 15300 done, 0 error
[freebase -> gkg: progress] 15350 done, 0 error
[freebase -> gkg: progress] 15400 done, 0 error
[freebase -> gkg: progress] 15450 done, 0 error
[freebase -> gkg: progress] 15500 done, 0 error
[freebase -> gkg: progress] 15550 done, 0 error
[freebase -> gkg: progress] 15600 done, 0 error
[freebase -> gkg: progress] 15650 done, 0 error
[freebase -> gkg: progress] 15700 done, 0 error
[freebase -> gkg: progress] 15750 done, 0 error
[freebase -> gkg: progress] 15800 done, 0 error
[freebase -> gkg: progress] 15850 done, 0 error
[freebase -> gkg: progress] 15900 done, 0 error
[freebase -> gkg: progress] 15950 done, 0 error
[freebase -> gkg: progress] 16000 done, 0 error
[freebase -> gkg: progress] 16050 done, 0 error
[freebase -> gkg: progress] 16100 done, 0 error
[freebase -> gkg: progress] 16150 done, 0 error
[freebase -> gkg: progress] 16200 done, 0 error
[freebase -> gkg: progress] 16250 done, 0 error
[freebase -> gkg: progress] 16300 done, 0 error
[freebase -> gkg: progress] 16350 done, 0 error
[freebase -> gkg: progress] 16400 done, 0 error
[freebase -> gkg: progress] 16450 done, 0 error
[freebase -> gkg: progress] 16500 done, 0 error
[freebase -> gkg: progress] 16550 done, 0 error
[freebase -> gkg: progress] 16600 done, 0 error
[freebase -> gkg: progress] 16650 done, 0 error
[freebase -> gkg: progress] 16700 done, 0 error
[freebase -> gkg: progress] 16750 done, 0 error
[freebase -> gkg: progress] 16800 done, 0 error
[freebase -> gkg: progress] 16850 done, 0 error
[freebase -> gkg: progress] 16900 done, 0 error
[freebase -> gkg: progress] 16950 done, 0 error
[freebase -> gkg: progress] 17000 done, 0 error
[freebase -> gkg: progress] 17050 done, 0 error
[freebase -> gkg: progress] 17100 done, 0 error
[freebase -> gkg: progress] 17150 done, 0 error
[freebase -> gkg: progress] 17200 done, 0 error
[freebase -> gkg: progress] 17250 done, 0 error
[freebase -> gkg: progress] 17300 done, 0 error
[freebase -> gkg: progress] 17350 done, 0 error
[freebase -> gkg: progress] 17400 done, 0 error
[freebase -> gkg: progress] 17450 done, 0 error
[freebase -> gkg: progress] 17500 done, 0 error
[freebase -> gkg: progress] 17550 done, 0 error
[freebase -> gkg: progress] 17600 done, 0 error
[freebase -> gkg: progress] 17650 done, 0 error
[freebase -> gkg: progress] 17700 done, 0 error
[freebase -> gkg: progress] 17750 done, 0 error
[freebase -> gkg: progress] 17800 done, 0 error
[freebase -> gkg: progress] 17850 done, 0 error
[freebase -> gkg: progress] 17900 done, 0 error
[freebase -> gkg: progress] 17950 done, 0 error
[freebase -> gkg: progress] 18000 done, 0 error
[freebase -> gkg: progress] 18050 done, 0 error
[freebase -> gkg: progress] 18100 done, 0 error
[freebase -> gkg: progress] 18150 done, 0 error
[freebase -> gkg: progress] 18200 done, 0 error
[freebase -> gkg: progress] 18250 done, 0 error
[freebase -> gkg: progress] 18300 done, 0 error
[freebase -> gkg: progress] 18350 done, 0 error
[freebase -> gkg: progress] 18400 done, 0 error
